sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
R62	pot	rhizo	VE.4	V	c	3	post-cotyl	tap1	young	NA	subtip (taproot)
R63	pot	rhizo	VE.4	V	c	3	post-cotyl	adjtip	young	NA	subtip (lateral)
R64	pot	rhizo	VE.4	V	c	3	post-cotyl	Lat1	young	NA	lateral1
R65	pot	rhizo	VE.4	V	c	3	post-cotyl	subcrown	young	NA	subcrown
R66	pot	rhizo	VE.4	V	c	3	post-cotyl	below_subcrown	young	NA	tap2
R67	pot	rhizo	VE.7	V	s	1	uni	tip	young	NA	tip
R68	pot	rhizo	VE.7	V	s	1	uni	tap1	young	NA	subtip (taproot)
R69	pot	rhizo	VE.7	V	s	1	uni	adjtip	young	NA	subtip (lateral)
R7	pot	rhizo	VE.1	V	c	1	cotyl	t1	young	NA	t1
R70	pot	rhizo	VE.7	V	s	1	uni	Lat1	young	NA	lateral1
R71	pot	rhizo	VE.7	V	s	1	uni	subcrown	young	NA	subcrown
R72	pot	rhizo	VE.7	V	s	1	uni	below_subcrown	young	NA	tap2
R73	pot	rhizo	VE.7	V	c	1	uni	tip	young	NA	tip
R74	pot	rhizo	VE.7	V	c	1	uni	tap1	young	NA	subtip (taproot)
R75	pot	rhizo	VE.7	V	c	1	uni	adjtip	young	NA	subtip (lateral)
R76	pot	rhizo	VE.7	V	c	1	uni	Lat1	young	NA	lateral1
R77	pot	rhizo	VE.7	V	c	1	uni	subcrown	young	NA	subcrown
R79	pot	rhizo	VE.7	V	s	2	uni	tip	young	NA	tip
R8	pot	rhizo	VE.1	V	c	1	cotyl	t2	young	NA	t2
R80	pot	rhizo	VE.7	V	s	2	uni	tap1	young	NA	subtip (taproot)
R81	pot	rhizo	VE.7	V	s	2	uni	adjtip	young	NA	subtip (lateral)
R82	pot	rhizo	VE.7	V	s	2	uni	Lat1	young	NA	lateral1
R83	pot	rhizo	VE.7	V	s	2	uni	subcrown	young	NA	subcrown
R84	pot	rhizo	VE.7	V	s	2	uni	below_subcrown	young	NA	tap2
R85	pot	rhizo	VE.7	V	c	2	uni	tip	young	NA	tip
R86	pot	rhizo	VE.7	V	c	2	uni	tap1	young	NA	subtip (taproot)
R87	pot	rhizo	VE.7	V	c	2	uni	adjtip	young	NA	subtip (lateral)
R88	pot	rhizo	VE.7	V	c	2	uni	Lat1	young	NA	lateral1
R89	pot	rhizo	VE.7	V	c	2	uni	subcrown	young	NA	subcrown
R9	pot	rhizo	VE.1	V	c	1	cotyl	t3	young	NA	t3
R90	pot	rhizo	VE.7	V	c	2	uni	below_subcrown	young	NA	tap2
R91	pot	rhizo	VE.7	V	s	3	uni	tip	young	NA	tip
R92	pot	rhizo	VE.7	V	s	3	uni	tap1	young	NA	subtip (taproot)
R93	pot	rhizo	VE.7	V	s	3	uni	adjtip	young	NA	subtip (lateral)
R94	pot	rhizo	VE.7	V	s	3	uni	Lat1	young	NA	lateral1
R95	pot	rhizo	VE.7	V	s	3	uni	subcrown	young	NA	subcrown
R96	pot	rhizo	VE.7	V	s	3	uni	below_subcrown	young	NA	tap2
R97	pot	rhizo	VE.7	V	c	3	uni	tip	young	NA	tip
R98	pot	rhizo	VE.7	V	c	3	uni	tap1	young	NA	subtip (taproot)
R99	pot	rhizo	VE.7	V	c	3	uni	adjtip	young	NA	subtip (lateral)
